client_id,age,job,marital,education,gender,has_deposits,loan,has_insurance,has_mortgage,last_balance,mean_balance,min_balance,max_balance,currency,age_band,predicted_probability,actual_second_phase_outcome
175712371,84.0,retired,married,secondary,M,yes,no,yes,no,81102.315609,81197.793085,81084.755661,81323.787382,CZK,70+,0.972808948198152,1
667293473,61.0,self-employed,divorced,tertiary,F,yes,no,no,no,52403.294908,52573.330673,52403.294908,52683.461032,CZK,60-69,0.9224448923276248,1
1866629429,77.0,retired,married,primary,F,yes,no,no,no,29481.49967,29329.900624,29137.736728,29500.382651,CZK,70+,0.8855239676927787,0
393510702,74.0,retired,divorced,primary,M,yes,no,no,no,29066.902642,29065.034642,28884.744939,29232.542051,CZK,70+,0.8793006413715062,0
1109522163,61.0,retired,married,tertiary,M,yes,no,no,no,32611.347593,32689.832041,32591.40652,32882.04248,CZK,60-69,0.8726299577637261,1
684390477,55.0,entrepreneur,married,secondary,F,yes,no,yes,no,27635.532247,27623.535234,27474.950891,27771.800013,CZK,50-59,0.8511733725562446,0
1718233087,45.0,management,married,tertiary,F,yes,no,no,no,31495.611412,31467.12125,31379.309131,31564.121964,CZK,40-49,0.8488805956120984,0
441196465,85.0,retired,married,primary,M,yes,no,yes,no,12033.381863,12086.127271,11911.28274,12248.409728,CZK,70+,0.8359614508877241,0
125571081,65.0,retired,married,secondary,F,yes,no,yes,no,20632.589459,20804.246663,20632.589459,20923.036869,CZK,60-69,0.8358820372719913,0
1627910488,32.0,unknown,single,tertiary,F,yes,no,yes,no,34677.295413,34633.671707,34466.278382,34731.713385,CZK,30-39,0.8336176325277617,0
119858616,63.0,retired,married,secondary,M,yes,no,no,no,17952.338015,18011.648781,17831.034991,18123.086266,CZK,60-69,0.8231959957414615,1
1637935708,49.0,management,married,tertiary,F,yes,no,no,no,22520.212696,22515.8013,22409.086986,22627.879672,CZK,40-49,0.8198252461625489,1
884903654,85.0,retired,divorced,primary,F,yes,no,no,no,7636.971714,7616.370602,7475.241461,7806.465541,CZK,70+,0.8188344166433442,1
1402085184,82.0,retired,married,primary,M,yes,no,no,no,8559.833469,8611.145616,8474.807988,8712.489237,CZK,70+,0.817418867740859,0
1285603128,87.0,retired,divorced,primary,M,yes,no,yes,no,6685.6604,6744.878661,6593.487232,6958.36064,CZK,70+,0.8170662487043729,0
957529019,77.0,retired,married,secondary,M,yes,no,yes,no,9684.67753,9581.847079,9473.846551,9734.863157,CZK,70+,0.8148197508969023,0
1177854254,39.0,blue-collar,single,primary,F,yes,no,no,no,24317.212601,24300.350157,24207.598817,24382.560195,CZK,30-39,0.8134269919349404,1
170234727,79.0,retired,married,secondary,M,yes,no,yes,no,8441.682553,8301.757873,8186.246768,8470.002927,CZK,70+,0.8133868549966613,1
601704380,57.0,unknown,married,unknown,M,yes,no,yes,no,19321.71239,19259.561475,19156.185995,19419.956272,CZK,50-59,0.8131189151129354,1
1094807734,95.0,retired,divorced,primary,M,yes,no,yes,no,2192.994897,2268.603771,2149.441684,2389.931358,CZK,70+,0.8129467596028862,1
736496687,78.0,retired,married,primary,M,yes,no,yes,no,8605.346858,8561.50334,8414.28338,8687.727287,CZK,70+,0.8114022292040344,1
1250882667,74.0,retired,married,secondary,F,yes,no,no,no,9614.946108,9476.119433,9313.089431,9622.298267,CZK,70+,0.8095328263887913,1
674391373,86.0,retired,married,primary,F,yes,no,yes,no,5163.851304,5222.601174,5106.86417,5371.868639,CZK,70+,0.8094356633223084,0
1459261994,60.0,unknown,married,unknown,F,yes,no,no,no,17302.805532,17305.356702,17214.021232,17439.24558,CZK,60-69,0.8092371992750381,0
1877067751,31.0,housemaid,single,primary,F,yes,no,no,no,26921.804029,26967.527382,26894.677927,27055.954215,CZK,30-39,0.8071068350908411,1
486679841,83.0,retired,married,tertiary,F,yes,no,yes,no,4849.953669,4753.652874,4651.339571,4885.53731,CZK,70+,0.8047965690756601,1
943098965,39.0,admin.,single,tertiary,M,yes,no,no,no,22072.51495,22092.765356,21999.1515,22170.253674,CZK,30-39,0.8042449202134462,1
1128962236,77.0,retired,married,tertiary,M,yes,no,yes,no,7707.360566,7783.13164,7669.70796,7937.383384,CZK,70+,0.8037527847014466,0
1158208655,92.0,retired,married,unknown,F,yes,no,no,no,824.336544,768.672545,617.954713,905.377325,CZK,70+,0.8029307226969491,0
