model,fpr,tpr
Random Forest,0.0,0.0
Random Forest,0.0,0.009433962264150943
Random Forest,0.002688172043010753,0.012578616352201259
Random Forest,0.01881720430107527,0.059748427672955975
Random Forest,0.021505376344086023,0.059748427672955975
Random Forest,0.02956989247311828,0.09119496855345911
Random Forest,0.03225806451612903,0.09119496855345911
Random Forest,0.03225806451612903,0.09433962264150944
Random Forest,0.03225806451612903,0.10062893081761007
Random Forest,0.03225806451612903,0.1069182389937107
Random Forest,0.03763440860215054,0.11320754716981132
Random Forest,0.03763440860215054,0.11635220125786164
Random Forest,0.04032258064516129,0.11949685534591195
Random Forest,0.043010752688172046,0.12578616352201258
Random Forest,0.04838709677419355,0.12578616352201258
Random Forest,0.04838709677419355,0.1289308176100629
Random Forest,0.05913978494623656,0.14465408805031446
Random Forest,0.06451612903225806,0.14465408805031446
Random Forest,0.06989247311827956,0.16352201257861634
Random Forest,0.07258064516129033,0.16666666666666666
Random Forest,0.07526881720430108,0.1792452830188679
Random Forest,0.07795698924731183,0.18238993710691823
Random Forest,0.09408602150537634,0.18867924528301888
Random Forest,0.09408602150537634,0.1949685534591195
Random Forest,0.09946236559139784,0.19811320754716982
Random Forest,0.10215053763440861,0.21069182389937108
Random Forest,0.10215053763440861,0.22012578616352202
Random Forest,0.10215053763440861,0.22641509433962265
Random Forest,0.16129032258064516,0.3018867924528302
Random Forest,0.1639784946236559,0.3018867924528302
Random Forest,0.1639784946236559,0.3050314465408805
Random Forest,0.1639784946236559,0.3113207547169811
Random Forest,0.18548387096774194,0.39622641509433965
Random Forest,0.18548387096774194,0.4025157232704403
Random Forest,0.1935483870967742,0.44339622641509435
Random Forest,0.19623655913978494,0.44339622641509435
Random Forest,0.20161290322580644,0.4528301886792453
Random Forest,0.20161290322580644,0.4559748427672956
Random Forest,0.20967741935483872,0.4811320754716981
Random Forest,0.21236559139784947,0.4811320754716981
Random Forest,0.21505376344086022,0.5031446540880503
Random Forest,0.21505376344086022,0.5094339622641509
Random Forest,0.21505376344086022,0.5188679245283019
Random Forest,0.21774193548387097,0.5188679245283019
Random Forest,0.23387096774193547,0.5440251572327044
Random Forest,0.23655913978494625,0.5440251572327044
Random Forest,0.24193548387096775,0.5628930817610063
Random Forest,0.2446236559139785,0.5723270440251572
Random Forest,0.25806451612903225,0.60062893081761
Random Forest,0.25806451612903225,0.6037735849056604
Random Forest,0.25806451612903225,0.610062893081761
Random Forest,0.260752688172043,0.6257861635220126
Random Forest,0.260752688172043,0.6289308176100629
Random Forest,0.26344086021505375,0.6320754716981132
Random Forest,0.2661290322580645,0.6383647798742138
Random Forest,0.2661290322580645,0.6415094339622641
Random Forest,0.26881720430107525,0.6415094339622641
Random Forest,0.26881720430107525,0.6666666666666666
Random Forest,0.2768817204301075,0.6666666666666666
Random Forest,0.2768817204301075,0.6729559748427673
Random Forest,0.2849462365591398,0.6761006289308176
Random Forest,0.2849462365591398,0.6792452830188679
Random Forest,0.28763440860215056,0.6792452830188679
Random Forest,0.29301075268817206,0.6823899371069182
Random Forest,0.2956989247311828,0.6823899371069182
Random Forest,0.3010752688172043,0.6886792452830188
Random Forest,0.3118279569892473,0.720125786163522
Random Forest,0.31451612903225806,0.720125786163522
Random Forest,0.31451612903225806,0.7232704402515723
Random Forest,0.3172043010752688,0.7232704402515723
Random Forest,0.3387096774193548,0.7515723270440252
Random Forest,0.34408602150537637,0.7515723270440252
Random Forest,0.3521505376344086,0.7515723270440252
Random Forest,0.3575268817204301,0.7547169811320755
Random Forest,0.3602150537634409,0.7547169811320755
Random Forest,0.3951612903225806,0.7704402515723271
Random Forest,0.3978494623655914,0.7767295597484277
Random Forest,0.3978494623655914,0.7830188679245284
Random Forest,0.3978494623655914,0.7924528301886793
Random Forest,0.4032258064516129,0.8018867924528302
Random Forest,0.40591397849462363,0.8018867924528302
Random Forest,0.40591397849462363,0.8050314465408805
Random Forest,0.40591397849462363,0.8144654088050315
Random Forest,0.40591397849462363,0.8238993710691824
Random Forest,0.40860215053763443,0.8301886792452831
Random Forest,0.4166666666666667,0.839622641509434
Random Forest,0.41935483870967744,0.839622641509434
Random Forest,0.4327956989247312,0.8490566037735849
Random Forest,0.4327956989247312,0.8522012578616353
Random Forest,0.43548387096774194,0.8522012578616353
Random Forest,0.43548387096774194,0.8553459119496856
Random Forest,0.44086021505376344,0.8584905660377359
Random Forest,0.44086021505376344,0.8616352201257862
Random Forest,0.4435483870967742,0.8647798742138365
Random Forest,0.4489247311827957,0.8647798742138365
Random Forest,0.45161290322580644,0.8647798742138365
Random Forest,0.4596774193548387,0.8710691823899371
Random Forest,0.4596774193548387,0.8773584905660378
Random Forest,0.46236559139784944,0.8773584905660378
Random Forest,0.46236559139784944,0.8805031446540881
Random Forest,0.4650537634408602,0.8805031446540881
Random Forest,0.4650537634408602,0.8867924528301887
Random Forest,0.4650537634408602,0.89937106918239
Random Forest,0.4650537634408602,0.9025157232704403
Random Forest,0.46774193548387094,0.9025157232704403
Random Forest,0.46774193548387094,0.9056603773584906
Random Forest,0.47580645161290325,0.9056603773584906
Random Forest,0.48118279569892475,0.9088050314465409
Random Forest,0.489247311827957,0.9119496855345912
Random Forest,0.49193548387096775,0.9119496855345912
Random Forest,0.5080645161290323,0.9182389937106918
Random Forest,0.510752688172043,0.9182389937106918
Random Forest,0.521505376344086,0.9276729559748428
Random Forest,0.5241935483870968,0.9276729559748428
Random Forest,0.5376344086021505,0.9308176100628931
Random Forest,0.5456989247311828,0.9308176100628931
Random Forest,0.5510752688172043,0.9308176100628931
Random Forest,0.553763440860215,0.9339622641509434
Random Forest,0.5564516129032258,0.9339622641509434
Random Forest,0.5618279569892473,0.9371069182389937
Random Forest,0.5645161290322581,0.9371069182389937
Random Forest,0.5698924731182796,0.9371069182389937
Random Forest,0.5698924731182796,0.940251572327044
Random Forest,0.5698924731182796,0.9465408805031447
Random Forest,0.5806451612903226,0.9465408805031447
Random Forest,0.5860215053763441,0.9528301886792453
Random Forest,0.6048387096774194,0.9528301886792453
Random Forest,0.6102150537634409,0.9559748427672956
Random Forest,0.6129032258064516,0.9559748427672956
Random Forest,0.6182795698924731,0.9559748427672956
Random Forest,0.6263440860215054,0.9559748427672956
Random Forest,0.6370967741935484,0.9559748427672956
Random Forest,0.6451612903225806,0.9559748427672956
Random Forest,0.6559139784946236,0.9559748427672956
Random Forest,0.6586021505376344,0.9559748427672956
Random Forest,0.6774193548387096,0.9559748427672956
Random Forest,0.6908602150537635,0.9591194968553459
Random Forest,0.6935483870967742,0.9622641509433962
Random Forest,0.7338709677419355,0.9685534591194969
Random Forest,0.7365591397849462,0.9685534591194969
Random Forest,0.7688172043010753,0.9811320754716981
Random Forest,0.7741935483870968,0.9842767295597484
Random Forest,0.7876344086021505,0.9874213836477987
Random Forest,0.7903225806451613,0.9874213836477987
Random Forest,0.8064516129032258,0.9874213836477987
Random Forest,0.8172043010752689,0.9874213836477987
Random Forest,0.8198924731182796,0.9874213836477987
Random Forest,0.8252688172043011,0.9874213836477987
Random Forest,0.8279569892473119,0.9874213836477987
Random Forest,0.8413978494623656,0.9905660377358491
Random Forest,0.8655913978494624,0.9905660377358491
Random Forest,0.8709677419354839,0.9905660377358491
Random Forest,0.8897849462365591,0.9905660377358491
Random Forest,0.8924731182795699,0.9905660377358491
Random Forest,0.8924731182795699,0.9937106918238994
Random Forest,0.9059139784946236,0.9968553459119497
Random Forest,0.9086021505376344,0.9968553459119497
Random Forest,0.9112903225806451,1.0
Random Forest,0.9193548387096774,1.0
Random Forest,0.9220430107526881,1.0
Random Forest,0.9327956989247311,1.0
Random Forest,0.946236559139785,1.0
Random Forest,0.956989247311828,1.0
Random Forest,0.9623655913978495,1.0
Random Forest,0.9704301075268817,1.0
Random Forest,0.9758064516129032,1.0
Random Forest,0.9811827956989247,1.0
Random Forest,1.0,1.0
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.0031446540880503146
Logistic Regression,0.0,0.012578616352201259
Logistic Regression,0.002688172043010753,0.012578616352201259
Logistic Regression,0.002688172043010753,0.015723270440251572
Logistic Regression,0.008064516129032258,0.015723270440251572
Logistic Regression,0.008064516129032258,0.031446540880503145
Logistic Regression,0.010752688172043012,0.031446540880503145
Logistic Regression,0.010752688172043012,0.03773584905660377
Logistic Regression,0.01881720430107527,0.03773584905660377
Logistic Regression,0.01881720430107527,0.050314465408805034
Logistic Regression,0.02956989247311828,0.050314465408805034
Logistic Regression,0.02956989247311828,0.06289308176100629
Logistic Regression,0.03225806451612903,0.06289308176100629
Logistic Regression,0.03225806451612903,0.0880503144654088
Logistic Regression,0.03494623655913978,0.0880503144654088
Logistic Regression,0.03494623655913978,0.09119496855345911
Logistic Regression,0.03763440860215054,0.09119496855345911
Logistic Regression,0.03763440860215054,0.09748427672955975
Logistic Regression,0.04032258064516129,0.09748427672955975
Logistic Regression,0.04032258064516129,0.11320754716981132
Logistic Regression,0.043010752688172046,0.11320754716981132
Logistic Regression,0.043010752688172046,0.11635220125786164
Logistic Regression,0.0456989247311828,0.11635220125786164
Logistic Regression,0.0456989247311828,0.12264150943396226
Logistic Regression,0.04838709677419355,0.12264150943396226
Logistic Regression,0.04838709677419355,0.12578616352201258
Logistic Regression,0.06720430107526881,0.12578616352201258
Logistic Regression,0.06720430107526881,0.1320754716981132
Logistic Regression,0.06989247311827956,0.1320754716981132
Logistic Regression,0.06989247311827956,0.14150943396226415
Logistic Regression,0.07526881720430108,0.14150943396226415
