client_id,age,job,marital,education,gender,has_deposits,loan,has_insurance,has_mortgage,last_balance,mean_balance,min_balance,max_balance,currency,age_band
249789938,38.0,services,married,secondary,M,yes,no,no,no,2680.467773,2669.532734,2515.500059,2775.615374,CZK,30-39
1222646323,46.0,services,divorced,unknown,M,no,no,no,no,1005.302876,960.562073,886.126906,1054.517907,CZK,40-49
451375919,33.0,admin.,single,secondary,F,no,no,no,yes,1100.917203,1221.016419,1100.917203,1303.494818,CZK,30-39
338972671,44.0,self-employed,married,secondary,F,no,no,yes,yes,357.676547,297.993265,202.053088,446.676191,CZK,40-49
1472834688,36.0,blue-collar,married,primary,M,yes,no,no,yes,1906.382731,1919.318145,1853.387429,2011.939205,CZK,30-39
1068680340,63.0,admin.,married,secondary,F,yes,no,no,yes,27.197528,0.97213,-104.26174,77.806737,CZK,60-69
711558356,38.0,self-employed,single,tertiary,F,yes,no,no,yes,1730.029517,1619.352069,1467.914549,1759.895301,CZK,30-39
422084751,30.0,technician,single,secondary,M,yes,no,no,no,2620.217037,2561.223346,2486.790068,2634.111167,CZK,30-39
123316323,36.0,blue-collar,divorced,secondary,F,yes,no,no,no,2731.590155,2841.0689,2720.984988,2937.134176,CZK,30-39
1504633819,38.0,management,married,tertiary,M,no,yes,no,yes,5476.241582,5440.862334,5344.385346,5529.866975,CZK,30-39
1321691715,39.0,management,married,tertiary,F,no,no,no,no,-1.482785,50.703326,-62.761076,142.520651,CZK,30-39
1861869059,66.0,retired,married,secondary,M,no,no,no,no,3534.505459,3450.227742,3334.598877,3551.465162,CZK,60-69
1595517041,35.0,technician,married,secondary,F,no,yes,no,no,990.632922,1061.688912,977.37767,1153.237694,CZK,30-39
1952195738,34.0,services,married,secondary,M,yes,yes,no,no,2935.906506,2922.958852,2852.824056,3016.314818,CZK,30-39
989726384,62.0,retired,married,secondary,F,yes,no,no,no,3042.641066,3124.614843,3011.44591,3212.174671,CZK,60-69
1971878545,36.0,management,single,tertiary,M,yes,no,no,no,526.157661,474.083033,362.809777,571.028715,CZK,30-39
1408023785,28.0,admin.,married,secondary,F,no,yes,no,yes,114.632253,151.631607,46.923061,235.927618,CZK,18-29
1327432047,53.0,management,divorced,tertiary,F,no,no,no,yes,3011.371719,2895.245585,2823.141552,3011.371719,CZK,50-59
1823731216,56.0,admin.,single,secondary,F,no,no,yes,yes,1802.895348,1848.241675,1749.589568,1964.842856,CZK,50-59
1147481134,40.0,blue-collar,married,secondary,F,no,no,no,yes,308.167948,297.85118,224.33729,363.628373,CZK,40-49
122279077,44.0,self-employed,married,unknown,F,yes,no,no,yes,207.153959,175.310695,60.734525,271.779298,CZK,40-49
1177854254,39.0,blue-collar,single,primary,F,yes,no,no,no,24317.212601,24300.350157,24207.598817,24382.560195,CZK,30-39
985873256,48.0,admin.,divorced,secondary,M,yes,no,no,yes,58.309348,77.968169,-10.495334,173.920329,CZK,40-49
853552378,59.0,retired,married,primary,M,no,no,no,no,-398.435065,-395.608433,-575.629052,-275.108597,CZK,50-59
1129179996,39.0,services,married,secondary,M,yes,no,no,no,329.313279,327.482352,244.538751,426.96266,CZK,30-39
178705988,44.0,management,single,tertiary,F,yes,no,no,no,1027.227353,1077.460814,981.361022,1161.976261,CZK,40-49
1687099232,54.0,admin.,divorced,secondary,M,yes,no,no,no,1912.70845,1881.07096,1745.297255,1997.33008,CZK,50-59
891087466,39.0,unemployed,single,secondary,M,yes,no,no,yes,222.230751,287.014461,222.230751,395.850358,CZK,30-39
1035374127,35.0,unknown,single,tertiary,F,yes,no,no,no,1778.5032,1760.503525,1642.246336,1867.436611,CZK,30-39
1037143944,22.0,student,single,tertiary,M,no,yes,no,no,1129.362009,1176.510664,1071.750402,1257.764116,CZK,18-29
308162265,28.0,management,married,tertiary,M,yes,no,no,no,1153.946139,1229.018001,1058.925409,1354.073194,CZK,18-29
1893016025,52.0,technician,married,tertiary,F,no,yes,no,yes,542.739639,513.735021,393.000534,651.216931,CZK,50-59
1854082979,46.0,blue-collar,married,primary,M,yes,no,yes,yes,346.078669,366.99845,261.400266,470.42356,CZK,40-49
1600875950,45.0,management,married,tertiary,F,no,yes,no,yes,-535.89417,-595.085489,-713.132337,-516.065742,CZK,40-49
1991899634,53.0,blue-collar,married,unknown,F,yes,no,yes,no,2487.543083,2516.837628,2398.838359,2639.52638,CZK,50-59
638886315,57.0,technician,married,secondary,F,no,no,no,yes,1818.281319,1749.449389,1643.983975,1824.856901,CZK,50-59
1208147537,55.0,retired,married,secondary,F,no,no,yes,yes,456.019117,502.822418,402.580468,593.564786,CZK,50-59
1322726978,56.0,management,married,tertiary,F,yes,no,no,yes,1437.809785,1395.762072,1253.150307,1508.131045,CZK,50-59
1256445690,48.0,management,divorced,tertiary,F,no,no,no,yes,1409.918578,1399.688554,1266.750385,1561.262764,CZK,40-49
